Relation,Head,Tail,Weight
antonym,ab_extra,ab_intra,1.0
antonym,ab_intra,ab_extra,1.0
antonym,abactinal,actinal,1.0
antonym,abandon,acquire,1.0
antonym,abandon,arrogate,1.0
antonym,abandon,embrace,1.0
antonym,abandon,engage,1.0
antonym,abandon,gain,1.0
antonym,abandon,join,1.0
antonym,abandon,maintain,1.0
antonym,abandon,retain,1.0
antonym,abandon,unite,1.0
atlocation,clock,department_store,1.0
atlocation,clock,desk,4.472
atlocation,clock,house,2.828
atlocation,clock,office,2.0
atlocation,crisps,table,1.0
atlocation,crisps,vending_machines,1.0
atlocation,crockery,cupboard,1.0
atlocation,crocs,united_states,0.5
atlocation,fungus,damp_spot,1.0
atlocation,fungus,damp_warm_place,1.0
atlocation,fungus,damp_wood,2.0
atlocation,fungus,damp_woods,1.0
atlocation,fungus,dank_place,1.0
atlocation,fungus,dark,1.0
atlocation,fungus,dark_and_dank_place,1.0
atlocation,fungus,dark_damp_area,2.828
atlocation,fungus,dark_damp_place,2.0
atlocation,carnival_rides,fairgrounds,1.0
atlocation,carousel,carnival,2.828
atlocation,carpet,at_hotel,1.0
capableof,adult,drive_car,1.0
capableof,adult,drive_train,1.0
capableof,adult,explain_rules_to_child,1.0
capableof,adult,feed_and_take_care_of_itself,1.0
capableof,adult,gift_knowledge_to_child,1.0
capableof,adult,hand_toy_to_child,1.0
capableof,adult,help_child,3.464
capableof,adult,keep_property,1.0
capableof,adults,act_like_infants,1.0
capableof,adults,care_for_babies,1.0
capableof,adults,carry_infants,1.0
capableof,adults,count,2.0
capableof,adults,demand_respect_from_children,1.0
capableof,adults,dress_themselves,2.828
capableof,adults,drink_beer,2.0
capableof,adults,drive_vehicle,1.0
capableof,adults,eat_sushi,2.0
capableof,adults,fail_to_pass_test,1.0
causes,competing_against,testing_yourself_against_another_person,1.0
causes,competing_against,try_hardest,1.0
causes,computing_sum,get_total_amount,1.0
causes,computing_sum,getting_answer,4.899
causes,computing_sum,getting_right_answer,1.0
causes,computing_sum,getting_total,1.0
causes,computing_sum,having_answer,2.0
causes,computing_sum,having_total,1.0
causes,computing_sum,headache,3.464
causes,computing_sum,insight,1.0
causes,computing_sum,know_total,2.0
causes,computing_sum,knowing_total,1.0
causes,computing_sum,may_get_wrong_answer,1.0
causes,computing_sum,number,1.0
causes,computing_sum,obtaining_total,1.0
causes,computing_sum,reaching_total,1.0
causes,computing_sum,receiving_total,1.0
desires,person,have_day_off,1.0
desires,person,have_diamonds,2.0
desires,person,have_easy,1.0
desires,person,have_enough_food,2.0
desires,person,have_enough_to_eat,1.0
desires,person,have_everyone_happy_with,2.0
desires,person,have_everything,1.0
desires,person,have_fast_internet_acess,1.0
desires,person,have_femily,1.0
desires,person,have_firm_body,1.0
desires,person,have_fond_memories,1.0
desires,person,have_fortune,1.0
desires,person,have_free_time,1.0
desires,person,have_friends,1.0
desires,person,have_fulfilling_life,1.0
desires,person,have_fun_in_life,2.0
desires,person,have_fun_on_weekends,1.0
desires,person,have_fun_weekend,2.0
desires,person,have_future,1.0
desires,person,have_good_bones,1.0
desires,person,have_good_day,2.828
desires,person,have_good_eyesight,1.0
desires,person,have_good_feelings,1.0
desires,person,have_good_friends,2.828
desires,person,have_good_life,1.0
desires,person,have_good_memories,2.0
desires,person,have_good_memory,1.0
desires,person,have_good_relationships_with_others,1.0
desires,person,have_good_skin,1.0
desires,person,have_great_sex,2.0
desires,person,have_happy_childhood,1.0
desires,person,have_happy_family,1.0
desires,person,have_healthy_life,1.0
desires,person,have_healthy_sex_life,1.0
desires,person,have_home_to_live_in,2.828
desires,person,have_hot_water,1.0
desires,person,have_influence,1.0
desires,person,have_inner_peace,2.828
desires,person,have_interesting_job,1.0
desires,person,have_large_vocabulary,1.0
desires,person,have_lasting_friendships,1.0
desires,person,have_long_live,2.0
desires,person,have_loving_family,1.0
desires,person,have_many_good_friends,2.0
desires,person,have_meaningful_life,2.0
desires,person,have_minimum_necessities_of_life,1.0
desires,person,have_money_to_buy_chocolate,2.0
desires,person,have_more,1.0
hascontext,bridge,card_games,1.0
hascontext,bridge,communication,1.0
hascontext,bridge,computing,1.0
hascontext,bridge,music,1.0
hascontext,bridge,wrestling,1.0
hascontext,bridge_and_tunnel,new_york_city,1.0
hascontext,bridge_and_tunnel,pejorative,1.0
hascontext,bridge_and_tunnel,slang,1.0
hassubevent,maintain_good_health,avoid_guns,1.0
hassubevent,maintain_good_health,avoid_hate,1.0
hassubevent,maintain_good_health,avoid_heavily_processed_foods,2.0
hassubevent,maintain_good_health,avoid_highly_processed_food,1.0
hassubevent,maintain_good_health,avoid_illegal_drugs,1.0
hassubevent,maintain_good_health,avoid_losing_sleep,1.0
hassubevent,maintain_good_health,avoid_marijuana,1.0
hassubevent,maintain_good_health,avoid_much_sunlight,1.0
hassubevent,maintain_good_health,avoid_poison,1.0
hassubevent,maintain_good_health,avoid_racism,1.0
hassubevent,maintain_good_health,avoid_smoking_marijuana,1.0
hassubevent,maintain_good_health,avoid_smoking_tobacco,1.0
hassubevent,maintain_good_health,avoid_tobacco,1.0
hassubevent,maintain_good_health,avoid_unpleasant_people,1.0
hassubevent,maintain_good_health,avoid_war,1.0
hassubevent,maintain_good_health,become_vegan,1.0
hassubevent,maintain_good_health,calm,1.0
hassubevent,maintain_good_health,care_about_people,1.0
hassubevent,maintain_good_health,chew_food_well,1.0
hassubevent,maintain_good_health,determine_nutritional_needs,1.0
hassubevent,maintain_good_health,do_exercise,1.0
hassubevent,maintain_good_health,dress_warmly_in_cold_weather,1.0
hassubevent,maintain_good_health,drink_very_little_alcoholic_beverages,1.0
hassubevent,maintain_good_health,drive_safely,1.0
hassubevent,maintain_good_health,eat_apple_day,1.0
hassubevent,maintain_good_health,eat_enough_and_exercise,1.0
hassubevent,maintain_good_health,eat_foods_containing_fiber,1.0
hassubevent,maintain_good_health,excersize,1.0
hassubevent,maintain_good_health,exercise,1.0
hassubevent,maintain_good_health,have_fullfilled_sex_life,1.0
hassubevent,maintain_good_health,have_spouse,1.0
hassubevent,maintain_good_health,leave_cat_alone,1.0
hassubevent,maintain_good_health,live_healthy_lifestyle,1.0
hassubevent,maintain_good_health,loving,1.0
hassubevent,maintain_good_health,monitor_health_often,1.0
hassubevent,maintain_good_health,not_eat_too_much_sna,1.0
isa,antidiarrheal,medicine,2.0
isa,antidiarrheal_therapy,drug_therapy,1.0
isa,antidiuretic,medicine,2.0
isa,antidiuretic_agent,medicine,1.0
isa,antido,artificial_language,2.0
isa,antidorcas,mammal_genus,2.0
