1,-1,2,-1,3,4,-1,5,-1,6,-1,7
3,-1,4,-1,5,6,-1,-1,7,1,-1,2
4,-1,5,-1,6,-1,7,1,-1,2,-1,3
6,-1,-1,7,1,-1,2,3,-1,4,-1,5
-1,7,1,-1,2,-1,3,4,-1,5,-1,6
-1,2,3,-1,4,-1,5,6,-1,-1,7,1
-1,3,4,-1,5,-1,6,-1,7,1,-1,2
-1,5,6,-1,-1,7,1,-1,2,3,-1,4
-1,6,-1,7,1,-1,2,-1,3,4,-1,5
7,1,-1,2,3,-1,4,-1,5,6,-1,-1
-1,2,-1,3,4,-1,5,-1,6,-1,7,1
-1,4,-1,5,6,-1,-1,7,1,-1,2,3
5,-1,6,-1,7,1,-1,2,-1,3,4,-1
-1,7,1,-1,2,3,-1,4,-1,5,6,-1
2,-1,3,4,-1,5,-1,6,-1,7,1,-1
4,-1,5,6,-1,-1,7,1,-1,2,3,-1
6,-1,7,1,-1,2,-1,3,4,-1,5,-1
1,-1,2,3,-1,4,-1,5,6,-1,-1,7
3,4,-1,5,-1,6,-1,7,1,-1,2,-1
5,6,-1,-1,7,1,-1,2,3,-1,4,-1
7,1,-1,2,-1,3,4,-1,5,-1,6,-1
2,3,-1,4,-1,5,6,-1,-1,7,1,-1
-1,5,-1,6,-1,7,1,-1,2,-1,3,4
-1,-1,7,1,-1,2,3,-1,4,-1,5,6
