,0,1,2,3,4
"[[3, 5], [6, 6], [4, 2]]",-0.052875711096120555,-0.09588695110964494,-0.06793465209301,-0.05438523750227702,-0.06406147756340548
"[[3, 4], [6, 6], [4, 3]]",-0.01009,-0.5,-0.5,-0.01998648239166538,-0.010090809999999999
"[[3, 5], [3, 3], [4, 4]]",-0.5216067506862471,-1.9701995,-0.2957229880478374,-0.5521303794833469,-0.291912651239883
"[[3, 5], [4, 3], [4, 5]]",-0.17020038264944942,-0.995,-0.17003066056014654,-0.17084067541667597,-0.18061252619011572
"[[3, 5], [5, 3], [4, 5]]",-0.310721791006476,-0.995,-0.3044196312169591,-0.3066034117158839,-0.30258164309452773
"[[3, 4], [5, 4], [4, 5]]",-0.5068849351000232,-0.5215919496170031,0.33272479226972446,-0.529392040004043,-0.5476025113537396
"[[3, 5], [5, 4], [4, 5]]",-0.9653009777091316,-8.274311927495619,-0.9562443360051255,-0.9663825574739041,-0.9577571287880812
"[[3, 3], [5, 4], [4, 5]]",-0.12144345586147146,-0.129151719633336,6.61777080738469,-0.12913417684277412,-0.12187211348591424
"[[3, 2], [5, 4], [4, 5]]",22.462534983722144,-0.037566698284270936,0.0002049650900000019,-0.020492300663398463,0.36064342058027793
"[[2, 3], [5, 4], [6, 6]]",-0.0199,-0.01,1.911710899685282,-0.02507112120629763,-0.01
"[[4, 4], [5, 4], [4, 5]]",-0.38856856345777463,-0.995,-0.3848636851605009,-0.5,-0.39216615065025906
"[[4, 3], [5, 4], [4, 5]]",-0.042040801551562916,-0.17418582965398824,-0.17906219922741637,-0.20272904839771475,-0.17845067061226685
"[[2, 2], [5, 4], [4, 5]]",-0.03593611593419173,0.19699025702983197,41.38750349042489,-0.025347536417836183,0.5235719953054313
"[[1, 3], [5, 4], [6, 6]]",-0.01999,-0.010049500000000001,-0.0199,-0.01999,-0.01999
"[[1, 2], [5, 4], [6, 6]]",-0.01999,1.1413350726366454,-0.01,-0.01009,-0.02969406465902331
"[[4, 5], [5, 4], [4, 5]]",0.0,0.0,0.0,0.0,0.0
"[[4, 5], [6, 6], [4, 3]]",-0.022056368799828086,-0.0199,-0.5,-0.0199,-0.01999
"[[4, 5], [3, 3], [4, 4]]",-0.05334353898157222,-0.058519850599,-0.058698950598999995,-0.5,-0.5
"[[4, 5], [4, 3], [4, 5]]",-0.5,-1.9701995,0.0,-0.5,-0.5
"[[4, 5], [5, 3], [4, 5]]",-0.995,-3.3967326046505,0.0,-0.995,-0.5
"[[3, 5], [6, 6], [4, 3]]",-0.5052708076706848,-0.6503942485687713,-0.31464561043008055,-0.5567063168667764,-0.3196072406789152
"[[3, 4], [4, 3], [4, 5]]",-0.06538757013815065,-0.06815609254531127,0.07157941051049484,-0.06943525585877257,-0.07243109013283643
"[[3, 4], [5, 3], [4, 5]]",-0.03627763723533166,-0.04878628543714749,0.4425679590136676,-0.04432926021182233,-0.03615058165751049
"[[5, 3], [5, 4], [4, 5]]",-0.1326255476738545,-0.12913304314430477,-0.12670229132838703,-0.995,-0.12922285286285284
"[[5, 4], [5, 4], [4, 5]]",0.0,0.0,0.0,0.0,0.0
"[[3, 4], [3, 3], [4, 4]]",-0.08912453287009733,-0.514891,-0.08664897275426689,-0.0850562755111616,-0.08029821601054066
"[[3, 3], [4, 3], [4, 5]]",-0.01,-0.01,-0.01,-0.009878977320149305,0.020248904987081453
"[[4, 3], [5, 3], [4, 5]]",0.0,-0.011055227128542065,0.0,-0.01,-0.01101218190086918
"[[5, 5], [4, 3], [4, 5]]",-0.5,-0.01,-0.0199,0.0,-0.01
"[[5, 4], [5, 3], [4, 5]]",0.0,-0.5,-0.01,-0.010717485033705036,-0.5
"[[5, 2], [5, 4], [4, 5]]",-0.07919569212102055,-0.07971975334246782,-0.0787530179209123,-0.08104017906592893,-0.07963109795235838
"[[5, 1], [5, 4], [4, 5]]",-0.04890803822116347,-0.049900099950010005,-0.049900099950010005,-0.05034279750865073,-0.049900099950010005
"[[4, 1], [5, 4], [4, 5]]",0.10944099197973417,-0.01999,-0.01999,-0.02007991,-0.01999
"[[4, 2], [5, 4], [4, 5]]",0.15058860156940262,-0.059846938189381006,-0.06722016746200328,-0.07174124407437676,-0.059850199850059994
"[[3, 1], [5, 4], [4, 5]]",5.680756414193536,-0.01,-0.01,-0.01,-0.01
"[[2, 1], [5, 4], [4, 5]]",0.0,0.0,0.0,0.0,0.0
"[[4, 4], [3, 3], [4, 4]]",0.0,-0.5,-0.5,0.0,0.0
"[[4, 4], [4, 3], [4, 4]]",0.0,-0.5,-0.5,0.0,0.0
"[[4, 4], [5, 3], [4, 4]]",0.0,-0.5,-0.5,0.0,0.0
"[[4, 4], [5, 4], [4, 4]]",0.0,0.0,0.0,0.0,0.0
"[[3, 4], [6, 6], [5, 2]]",0.0,0.0,0.0,0.0,-0.01
"[[3, 4], [3, 3], [5, 2]]",0.0,-0.01,0.0,0.0,0.0
"[[4, 4], [4, 3], [5, 2]]",0.0,0.0,-0.5,0.0,0.0
"[[4, 3], [5, 3], [5, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [3, 3], [4, 3]]",-2.2448043853624212e-05,-0.01,-0.01,-6.208892285322127e-05,-0.01
"[[3, 5], [4, 3], [4, 4]]",-0.01028609422864929,-0.5,-0.016408702021722208,-0.020784796048626684,-0.011281391343046818
"[[3, 5], [3, 3], [4, 2]]",-0.5,-0.5,-0.5,-0.9900500000000001,-0.5
"[[4, 5], [4, 3], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [4, 3], [3, 4]]",-0.01,0.0,0.0,-0.5,0.0
"[[3, 5], [5, 3], [3, 5]]",0.0,0.0,0.0,-0.5,0.0
"[[3, 5], [5, 4], [3, 5]]",0.0,0.0,0.0,0.0,0.0
"[[4, 5], [6, 6], [5, 2]]",0.0,0.0,-0.01,0.0,0.0
"[[4, 4], [3, 3], [5, 1]]",0.0,0.0,0.0,0.0,-0.01
"[[4, 4], [4, 3], [4, 1]]",0.0,0.0,0.0,0.0,-0.01
"[[4, 4], [5, 3], [4, 1]]",0.0,0.0,-0.01,0.0,0.0
"[[4, 3], [5, 4], [3, 1]]",0.0,0.0,0.0,-0.01,0.0
"[[4, 4], [5, 4], [3, 1]]",0.0,-0.5,0.0,0.0,0.0
"[[5, 4], [5, 4], [3, 1]]",0.0,0.0,0.0,0.0,0.0
"[[1, 1], [5, 4], [4, 5]]",0.0,0.0,0.0,-0.01,0.0
"[[4, 4], [4, 3], [4, 5]]",-0.016306998715494642,-0.0199,-0.0199,-0.5,-0.01009945645877131
"[[4, 4], [5, 3], [4, 5]]",-0.02368161102075795,-0.5,-0.022639868292312258,-0.5,-0.026451207697811334
"[[5, 5], [3, 3], [4, 4]]",-0.5,0.0,-0.01,0.0,0.0
"[[5, 4], [4, 3], [4, 5]]",0.0,0.0,0.0,-0.01,0.0
"[[5, 5], [5, 3], [4, 5]]",-0.5,-0.01044910089955009,0.0,-0.01,0.0
"[[3, 5], [3, 3], [3, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 3], [5, 3], [4, 5]]",0.0,-0.01062811314685189,3.5215627346534975,0.0,0.0
"[[3, 5], [4, 3], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [3, 3], [5, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [4, 3], [5, 2]]",0.0,-0.01,0.0,0.0,0.0
"[[4, 5], [5, 3], [4, 2]]",-0.01,0.0,0.0,0.0,0.0
"[[3, 5], [5, 4], [4, 3]]",0.0,0.0,0.0,-0.01,0.0
"[[3, 5], [5, 4], [4, 4]]",-0.015943472966397428,-0.01,0.0,-0.01654250067191671,-0.01
"[[4, 5], [5, 4], [4, 3]]",0.0,0.0,-0.5,-0.01,-0.01
"[[4, 5], [5, 4], [4, 4]]",-0.01639600436420607,-0.01,0.0,0.0,0.0
"[[5, 5], [5, 4], [4, 5]]",-1.9701995,-0.11934219505791074,-0.5,-0.11934219505791074,-0.10945164670461537
"[[3, 4], [4, 3], [5, 4]]",0.0,0.0,0.0,-0.01,0.0
"[[3, 5], [5, 3], [4, 4]]",0.0,0.0,-0.00819848349845159,-0.014389398124565982,-0.016963089341491665
"[[4, 5], [3, 3], [4, 2]]",0.0,-0.5,-0.5,0.0,0.0
"[[4, 4], [4, 3], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [6, 6], [5, 2]]",0.0,-0.01,-0.01,0.0,0.0
"[[5, 5], [4, 3], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [4, 3], [5, 4]]",0.0,0.0,-0.0199,0.0,0.0
"[[3, 4], [5, 3], [4, 4]]",0.0,0.0,0.0,0.0,-0.013570917448717714
"[[3, 4], [4, 3], [4, 4]]",0.0,0.0,0.0,-0.010943974970380799,0.0
"[[4, 5], [4, 3], [4, 4]]",-0.01,0.0,0.0,0.0,0.0
"[[3, 5], [5, 3], [3, 4]]",-0.01,0.0,0.0,0.0,0.0
"[[3, 5], [6, 6], [3, 2]]",0.0,0.0,-0.01,0.0,0.0
"[[3, 5], [3, 3], [3, 2]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [4, 3], [4, 2]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [5, 3], [4, 3]]",0.0,-0.01,0.0,0.0,0.0
"[[3, 5], [6, 6], [4, 1]]",0.0,0.0,0.0,0.0,-0.01
"[[3, 5], [3, 3], [4, 1]]",0.0,-0.01,-0.01,0.0,0.0
"[[3, 4], [4, 3], [5, 1]]",0.0,-0.01,0.0,0.0,0.0
"[[4, 4], [5, 3], [5, 1]]",0.0,0.0,0.0,-0.01,0.0
"[[4, 5], [5, 4], [5, 1]]",0.0,-0.01,0.0,0.0,0.0
"[[5, 5], [5, 4], [5, 1]]",0.0,0.0,0.0,0.0,-0.01
"[[5, 5], [5, 4], [5, 2]]",0.0,0.0,0.0,-0.01,0.0
"[[5, 5], [5, 4], [4, 2]]",0.0,-0.01,-0.5,0.0,0.0
"[[5, 4], [5, 4], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 4], [5, 3], [5, 4]]",0.0,0.0,0.0,-0.01,0.0
"[[5, 5], [4, 3], [3, 4]]",0.0,0.0,-0.01,0.0,0.0
"[[5, 4], [5, 3], [4, 4]]",-0.5,0.0,0.0,0.0,0.0
"[[4, 4], [5, 4], [5, 4]]",0.0,0.0,0.0,0.0,0.0
"[[4, 5], [4, 3], [3, 1]]",0.0,-0.01,0.0,0.0,0.0
"[[5, 5], [5, 3], [4, 1]]",0.0,0.0,0.0,-0.01,0.0
"[[5, 5], [5, 4], [4, 3]]",0.0,0.0,0.0,-0.01,0.0
"[[5, 5], [5, 4], [4, 4]]",0.0,-0.01,0.0,0.0,0.0
"[[3, 4], [4, 3], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 4], [3, 3], [4, 2]]",-0.5,0.0,-0.5,0.0,0.0
"[[3, 3], [4, 3], [4, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 3], [3, 3], [4, 4]]",0.0,0.0,0.0,0.0,0.0
"[[3, 5], [5, 3], [4, 2]]",0.0,-0.01,0.0,0.0,0.0
"[[3, 5], [4, 3], [5, 3]]",0.0,-0.5,0.0,0.0,0.0
"[[4, 5], [5, 3], [5, 3]]",0.0,0.0,0.0,0.0,0.0
"[[3, 2], [5, 3], [4, 5]]",0.0,0.0,0.037097785583577604,0.0,0.0
"[[2, 3], [5, 3], [6, 6]]",0.0,0.0,0.0,0.004391030075795664,0.0
